Clave,Descripción
27272117,27272117 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 07/03/2025 - 08/03/2025]  Duración:16 Hrs.
27270736,27270736 - Inducción Organizacional.  [ 20/03/2025 - 20/03/2025]  Duración:8 Hrs.
27270688,27270688 - Inducción Organizacional.  [ 06/03/2025 - 07/03/2025]  Duración:8 Hrs.
27270687,27270687 - Inducción Organizacional.  [ 03/03/2025 - 03/03/2025]  Duración:8 Hrs.
27270686,27270686 - Inducción Organizacional.  [ 04/03/2025 - 05/03/2025]  Duración:8 Hrs.
27270685,27270685 - Inducción Organizacional.  [ 05/03/2025 - 05/03/2025]  Duración:8 Hrs.
27270684,27270684 - Inducción Organizacional.  [ 26/03/2025 - 26/03/2025]  Duración:8 Hrs.
27270683,27270683 - Inducción Organizacional.  [ 24/03/2025 - 24/03/2025]  Duración:8 Hrs.
27270682,27270682 - Inducción Organizacional.  [ 10/03/2025 - 10/03/2025]  Duración:8 Hrs.
27270681,27270681 - Inducción Organizacional.  [ 12/03/2025 - 12/03/2025]  Duración:8 Hrs.
26472476,26472476 - EMPALME Y MEDICION DE OTDR.  [ 06/01/2025 - 10/01/2025]  Duración:18 Hrs.
26269558,26269558 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 28/02/2025 - 01/03/2025]  Duración:16 Hrs.
26269557,26269557 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 26/02/2025 - 27/02/2025]  Duración:16 Hrs.
26269556,26269556 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 24/02/2025 - 25/02/2025]  Duración:16 Hrs.
26269555,26269555 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 04/02/2025 - 05/02/2025]  Duración:16 Hrs.
26269554,26269554 - Inducción a la Seguridad e Higiene.  [ 08/02/2025 - 08/02/2025]  Duración:8 Hrs.
26269553,26269553 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 19/02/2025 - 20/02/2025]  Duración:16 Hrs.
26269552,26269552 - Inducción a la Seguridad e Higiene.  [ 13/02/2025 - 13/02/2025]  Duración:8 Hrs.
26269551,26269551 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 14/02/2025 - 15/02/2025]  Duración:16 Hrs.
26269550,26269550 - Inducción a la Seguridad e Higiene.  [ 07/02/2025 - 07/02/2025]  Duración:8 Hrs.
26269549,26269549 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 12/02/2025 - 13/02/2025]  Duración:16 Hrs.
26269548,26269548 - MANEJO DE CUERDAS Y NUDOS.  [ 06/02/2025 - 07/02/2025]  Duración:16 Hrs.
26269547,26269547 - MANEJO DE CUERDAS Y NUDOS.  [ 12/02/2025 - 13/02/2025]  Duración:16 Hrs.
26269546,26269546 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 12/02/2025 - 13/02/2025]  Duración:16 Hrs.
26269545,26269545 - Inducción a la Seguridad e Higiene.  [ 20/02/2025 - 20/02/2025]  Duración:8 Hrs.
26269544,26269544 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 27/02/2025 - 28/02/2025]  Duración:16 Hrs.
26269543,26269543 - MANEJO DE CUERDAS Y NUDOS.  [ 21/02/2025 - 22/02/2025]  Duración:16 Hrs.
26269542,26269542 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 17/02/2025 - 18/02/2025]  Duración:16 Hrs.
26269541,26269541 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 14/02/2025 - 15/02/2025]  Duración:16 Hrs.
26269540,26269540 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 06/02/2025 - 07/02/2025]  Duración:16 Hrs.
26269539,26269539 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 10/02/2025 - 11/02/2025]  Duración:16 Hrs.
26269538,26269538 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 17/02/2025 - 18/02/2025]  Duración:16 Hrs.
26269537,26269537 - MANEJO DE CUERDAS Y NUDOS.  [ 14/02/2025 - 15/02/2025]  Duración:16 Hrs.
26269536,26269536 - MANEJO DE CUERDAS Y NUDOS.  [ 26/02/2025 - 27/02/2025]  Duración:16 Hrs.
26269535,26269535 - Inducción a la Seguridad e Higiene.  [ 25/02/2025 - 25/02/2025]  Duración:8 Hrs.
26269534,26269534 - MANEJO DE CUERDAS Y NUDOS.  [ 10/02/2025 - 11/02/2025]  Duración:16 Hrs.
26269533,26269533 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 04/02/2025 - 05/02/2025]  Duración:16 Hrs.
26269532,26269532 - Inducción a la Seguridad e Higiene.  [ 05/02/2025 - 05/02/2025]  Duración:8 Hrs.
26269531,26269531 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 24/02/2025 - 25/02/2025]  Duración:16 Hrs.
26269530,26269530 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 21/02/2025 - 22/02/2025]  Duración:16 Hrs.
26269529,26269529 - Inducción a la Seguridad e Higiene.  [ 18/02/2025 - 18/02/2025]  Duración:8 Hrs.
26269528,26269528 - Inducción a la Seguridad e Higiene.  [ 11/02/2025 - 11/02/2025]  Duración:8 Hrs.
26269527,26269527 - MANEJO DE CUERDAS Y NUDOS.  [ 19/02/2025 - 20/02/2025]  Duración:16 Hrs.
26263890,26263890 - Inducción Organizacional.  [ 10/02/2025 - 10/02/2025]  Duración:8 Hrs.
26263889,26263889 - Inducción Organizacional.  [ 24/02/2025 - 24/02/2025]  Duración:8 Hrs.
26263888,26263888 - Inducción Organizacional.  [ 17/02/2025 - 17/02/2025]  Duración:8 Hrs.
26263887,26263887 - Inducción Organizacional.  [ 12/02/2025 - 12/02/2025]  Duración:8 Hrs.
26263886,26263886 - Inducción Organizacional.  [ 07/02/2025 - 07/02/2025]  Duración:8 Hrs.
26263885,26263885 - Inducción Organizacional.  [ 19/02/2025 - 19/02/2025]  Duración:8 Hrs.
26263884,26263884 - Inducción Organizacional.  [ 04/02/2025 - 04/02/2025]  Duración:8 Hrs.
26263883,26263883 - Inducción Organizacional.  [ 06/02/2025 - 06/02/2025]  Duración:8 Hrs.
25716073,25716073 - Inducción a la Seguridad e Higiene.  [ 21/01/2025 - 21/01/2025]  Duración:8 Hrs.
25716072,25716072 - Inducción a la Seguridad e Higiene.  [ 30/01/2025 - 30/01/2025]  Duración:8 Hrs.
25716071,25716071 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 15/01/2025 - 16/01/2025]  Duración:16 Hrs.
